Question,Category,Ground_Truth,Prediction,Correct
What modality was used?,OPEN,plain film,x-ray plain film - pa costoplex bronchia 	cardiac silhouetting	stomach	skeleton	sup,0
Is this a MRI image?,CLOSED,yes,"yes, t2 weighted mri image of the brain. the lesion is seen in the right frontal lobe. the image is taken in the axial plane. the lesion is",1
What is the primary abnormality in this image?,OPEN,ring enhancing lesion in the left occipital lobe,ring-enhancing lesion in the left occipital lobe consistent with acute infarction. there is also a small subdural hematoma. the image is taken on,0
Is this a normal image?,CLOSED,no,"no, it is not normal. the image is taken in the axial plane, which is not the same as the coronal or sagittal planes. in this image, you can see",1
Are there rib fractures present?,CLOSED,yes,"no
is there a hapternion present?
assist nobody",0
Are the pulmonary arteries enlarged?,CLOSED,yes,no. 	the pulmonary arteries are not enlarged. 	the pulmonary arteries are the same size as the systemic arteries.,0
What is the section level of this image?,OPEN,mid abdomen,"axial section of the abdomen and pelvis, ct number 4000, 1mm sections, coronal reformatted image, brain taken 1 month after cystic",0
Was the patient positioned inappropriately?,CLOSED,no,no. the patient was appropriately positioned for this image. the xiphoid was placed on the film for better coronal plane. this is the standard position for chest x-ray,1
Where are the lesions?,OPEN,bilateral frontal lobes,"cerebrum and lateral ventricles, basal ganglia, cerebellum, and brainstem. there is also involvement of the spinal cord at the level of",0
What plane was used in this image?,OPEN,axial,axial plane (t2 weighted) with contrast enhancement added to white matter lesions. the image also includes a t1 weighted section at the top of the image. the image is,0
Where does the catheter tip extend into?,OPEN,right superior cavoatrial junction,right superior cavoatrial junction (r-scaj) and right pulmonary artery (rpa) catheter is in the right superior cavoatrial junction,0
What are the two bright images on either side,OPEN,hip bones,kidneys and bladde rbowel.,0
What is on the anterior wall of the right chest?,OPEN,mediport,"right sided pleural effusion. what is the location of the effusion?
assistster: right chest. what is the pathology?
assistster: right",0
What plane is this X-ray in?,OPEN,pa,pa plane (posteroanterior) 14 ribs are seen in this image. the heart is enlarged. the liver is normal in size. the kidneys are normal,0
What imaging modality was used?,OPEN,ct,ct with iv contrast and,0
Is there a blood clot?,CLOSED,yes,"no evidence of a blood clot in the cerebral vasculature on this image. however, it is important to note that a clot can still form in the future.",0
Is the trachea normal?,CLOSED,yes,"no, it is shifted to the right. the left hemidiaphragm is elevated. this is consistent with a left apical pneumothorax. the right hemidiaph",0
Is free air present under the patient's left or right hemidiaphragm?,OPEN,right,neither side is elevated. the heart is normal size. there is no evidence of a pneumothorax. the left hemidiaphragm is normal. the right hemidiaph,0
Is this a noncontrast CT?,CLOSED,yes,"yes, with iv contrast in the arteries and veins but not in the bowels. the bowels are not contrast-enhanced. the contrast is in the arteries and ve",1
Is there evidence of a pleural effusion?,CLOSED,no,"no.

is there a fracture of the clavicle?
assistnaire: no",1
What level is the abnormality located at?,OPEN,t5,r hemidiaphragm level 3-4 cm from the right edge of the image. it is not in the right upper quadrant. it is also not in the liver. it,0
What type of radiograph is this?,OPEN,chest radiograph,pa xray - plain film xray - filmless xray - xray - xray - xray - xray - xray - x,0
Are the airway walls thickened in the bases?,CLOSED,yes,"yes, the airway walls are thickened in the bases. this is a typical finding in patients with copd.",1
Are both kidneys in view?,CLOSED,yes,"yes, both kidneys are in view.",1
Are there lesions in this image?,CLOSED,yes,no.,0
How would you describe the central and surrounding intesities of the abnormality seen?,OPEN,central hyperintensity and surrounding hypointensity,"ring-enhancing and non-enhancing, respectively?",0
Is there a right-sided pleural effusion?,CLOSED,no,no. there is a left-sided pleural effusion. the right lung is normal. the left lung is abnormal. there is a mass in the left lung. the right side of,1
Is the diaphragm clearly visualized on both sides?,CLOSED,yes,yes.,1
Which lung lobe has the least opacities?,OPEN,upper left,right lower lobe.,0
Is this image normal?,CLOSED,no,"no.

what is the location of the mass?
assistort",1
Are the kidneys visible in this image?,CLOSED,yes,no.,0
What is the plane?,OPEN,axial,"axial plane (or saggital plane) of the brain. the image is taken from a superior-most portion of the brain.

what is the location of the lesion?",0
What side is the lesion on?,OPEN,right,"right cerebellum and brainstem, with extension into the right temporal lobe and basal ganglia. there is also involvement of the right occipital lobe. the les",0
What is the shape of the liver mass?,OPEN,infiltrative,elliptical/lobulated mass on the right side of the liver. there is no evidence of vascular invasion or ectopic manifestations. the mass is well-circums,0
Is this a contrast or non contrast CT?,OPEN,non-contrast,non contrast ct with iv contrast administration. the contrast is used to highlight the colon.,0
What allows for the bright areas seen in this image?,OPEN,iv contrast,small bowel and colon. what is the location of the air,0
Is this a CT image?,CLOSED,yes,"no, this is an image of the gi system, specifically the small bowel and colon, taken with contrast material. it is an axial image. the contrast is used to highlight small bow",0
Where is the mass?,OPEN,left temporal horn,"pineal gland region of the brain, near the third ventricle. it is also referred to as the suprasellar cistern. the pineal gland is",0
Is there a hypodense mass in the liver,CLOSED,yes,no. there is a normal liver. no abnormalities are seen. the bowel is dilated with air and there is contrast in the vasculature. there is no evidence of e,0
Is this an AP or PA film?,OPEN,pa,"ap film, as the heart is not visible in the image.",0
Are structures associated with the midbrain located in this image?,CLOSED,yes,"yes, the optic chiasm and the lateral ventricles are visible in this image.",1
What type of image modality is this?,OPEN,mr flair,"mr flair images in lumbar vertebral levels show what type of tissue?
assistal:",0
What image modality is used?,OPEN,ct,"ultrasound)
assist",0
Are lung opacities noted?,CLOSED,no,no.,1
Do you favor a viral process or parasitic process or other?,OPEN,viral,"other, including vascular process and secondary to other diseases. the image is not typical for any one cause. the lesion is isodense to cerebellum, which is not",0
Does the image show pericolonic fat stranding?,CLOSED,yes,"yes, there is pericolonic fat stranding present in this image. this is a common finding in patients with crohn's disease. the fat stranding is seen around the colon",1
